Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,Western,Film-Noir
49,15,28,67,26,39,90,56,32,41,7,8,32,13,19,2,11,2
19,1,3,19,4,5,21,38,22,35,5,7,15,2,1,0,4,0
184,48,58,365,108,148,457,209,197,305,151,118,130,39,43,9,23,25
16,16,20,23,7,6,1,3,2,2,0,1,1,0,5,0,0,0
11,1,1,12,3,6,8,14,5,15,0,3,5,0,0,0,0,0
8,7,3,20,10,21,60,15,11,15,2,7,12,4,3,2,1,0
70,13,16,122,25,82,205,91,70,112,20,44,56,22,19,3,8,8
6,0,0,10,3,7,12,6,5,5,1,0,3,0,0,0,0,0
48,2,1,21,16,7,43,71,32,63,7,22,49,4,1,1,0,3
8,2,4,8,3,4,8,10,5,8,0,1,3,2,2,0,2,0
25,10,24,22,13,12,16,24,7,12,0,2,10,4,9,0,2,0
6,8,8,12,5,6,11,6,7,10,1,6,2,0,2,0,0,0
1,0,1,12,0,6,12,2,7,4,0,6,1,1,0,0,0,1
13,8,5,17,13,12,21,7,5,7,2,6,8,0,3,3,1,0
20,6,6,10,7,4,13,21,7,8,2,2,11,4,0,0,0,0
14,1,1,7,5,2,22,19,18,16,2,5,14,1,0,0,0,0
47,52,47,43,29,16,13,16,1,2,1,1,11,1,13,0,1,0
11,2,3,17,2,9,19,22,11,23,1,1,6,1,3,0,0,0
7,1,1,11,1,6,18,11,10,12,1,5,5,4,0,0,1,0
9,2,3,19,3,19,35,19,9,20,3,2,7,6,2,0,4,0
14,3,0,28,14,12,79,28,37,42,12,27,26,6,1,0,3,6
2,3,5,10,6,5,7,4,0,3,3,1,1,0,2,0,0,0
11,3,3,2,5,1,8,15,6,8,0,1,7,1,0,0,0,0
53,1,6,51,28,9,37,80,30,41,3,15,33,9,3,1,1,0
9,0,2,82,7,20,53,12,20,15,10,4,6,6,5,1,3,0
10,1,2,93,12,45,101,4,33,22,2,15,2,7,4,2,2,10
22,4,10,49,9,36,63,29,17,36,4,9,10,6,4,1,6,0
14,2,9,54,8,26,35,14,19,23,6,16,6,1,2,5,1,5
5,0,0,17,6,11,28,21,20,12,2,1,1,5,0,0,3,0
457,124,177,1079,226,509,1309,668,416,625,132,150,323,124,110,62,52,14
15,1,2,31,5,21,46,25,27,29,4,13,7,4,2,1,3,5
10,3,4,23,7,14,27,13,11,11,2,4,10,4,1,1,1,1
15,2,3,10,8,9,42,16,20,25,5,13,15,3,0,0,0,0
29,1,5,28,20,16,53,23,22,28,3,13,16,4,2,1,1,2
20,3,5,32,7,11,75,53,32,61,19,14,26,19,3,15,0,1
35,12,10,60,24,23,60,38,14,34,18,11,30,14,11,7,0,2
6,1,4,9,3,8,27,4,3,5,1,2,1,6,0,0,2,0
10,1,5,26,5,11,39,20,11,20,12,10,13,10,1,0,6,3
5,0,0,6,2,2,10,11,5,9,1,1,7,3,0,0,1,0
4,4,2,43,7,14,74,20,43,65,18,39,11,2,3,0,1,4
88,18,24,99,29,48,127,126,65,113,30,28,65,16,8,0,3,1
31,18,20,41,22,27,39,14,11,9,0,4,9,1,7,0,0,0
13,1,2,20,9,16,42,27,14,29,6,10,13,8,3,2,1,0
93,25,28,122,39,36,80,131,39,81,36,15,84,14,9,2,4,1
12,3,7,21,3,22,29,17,7,15,1,3,5,3,3,0,4,1
21,10,10,21,10,13,29,15,8,11,2,7,18,1,0,0,0,0
5,0,1,12,2,8,5,8,2,5,0,2,3,2,0,0,1,0
62,15,19,47,21,59,146,81,63,108,21,36,47,17,4,0,1,1
2,0,0,4,0,1,14,8,13,12,1,5,2,3,0,0,1,0
77,21,19,70,31,32,95,94,51,76,19,17,60,15,5,1,2,0
9,2,3,9,2,4,22,17,14,15,0,6,8,0,1,0,2,0
23,10,28,57,14,18,38,26,11,25,2,2,7,4,7,0,3,0
20,0,2,37,4,28,84,29,25,29,0,8,12,13,0,1,2,0
161,38,38,266,68,140,221,288,112,184,16,29,115,25,21,9,7,2
9,3,3,4,5,2,7,11,2,4,0,0,4,4,0,1,0,0
7,2,1,10,3,4,19,5,1,9,4,3,18,1,0,0,1,1
19,2,1,20,8,2,9,25,9,10,5,4,12,2,0,0,0,0
3,2,2,5,0,5,13,3,1,5,3,2,1,1,0,0,0,0
13,1,1,7,7,7,24,14,9,12,5,4,12,2,0,0,0,0
4,1,3,13,5,8,20,12,17,17,2,3,5,4,1,0,1,0
20,5,5,22,12,14,43,22,17,25,3,7,12,10,1,0,1,0
21,5,8,33,8,24,35,25,12,27,3,6,13,4,5,0,3,0
18,5,11,27,8,16,33,33,15,31,4,4,8,4,5,0,6,0
411,91,135,947,161,231,601,622,309,446,80,99,299,52,58,19,47,3
7,0,1,17,3,8,16,10,12,11,1,5,5,5,0,1,1,0
8,1,2,14,3,7,26,17,5,12,7,4,8,3,3,0,2,0
10,2,3,13,4,10,10,12,5,17,1,2,5,0,2,0,0,0
67,3,3,59,13,21,54,111,39,84,23,22,63,9,3,0,1,1
58,11,11,158,19,63,118,92,61,92,14,27,37,17,6,1,3,1
4,2,0,9,4,5,25,5,11,22,16,14,4,2,0,0,0,1
10,4,5,19,5,15,31,16,11,21,2,2,6,6,4,0,3,0
10,3,6,19,6,10,13,10,4,13,2,4,5,0,2,0,0,0
20,2,3,15,3,5,11,23,4,12,6,5,20,1,2,0,1,0
15,4,7,23,5,21,28,20,8,21,0,1,6,4,5,0,2,0
15,9,7,5,4,1,9,13,1,5,0,3,10,1,0,0,1,0
29,12,14,23,15,14,42,26,14,23,4,11,20,3,1,0,0,0
5,0,0,6,1,6,19,9,6,8,2,2,5,3,0,0,1,0
57,8,9,145,33,57,237,76,68,85,25,26,50,30,12,69,7,10
10,1,1,9,3,6,17,18,4,7,3,1,4,12,1,1,0,0
49,4,8,30,13,21,57,68,31,60,6,13,37,13,2,0,4,1
23,1,1,15,3,17,56,44,34,67,8,22,24,22,2,0,4,8
55,14,17,33,23,14,39,60,21,37,2,10,27,5,1,0,0,0
2,1,1,5,0,9,15,7,1,3,1,0,2,9,1,0,1,0
11,3,4,11,4,4,14,12,9,14,1,3,4,3,2,0,3,0
109,9,17,168,37,72,188,148,74,134,40,41,109,26,13,1,11,13
21,4,8,28,9,17,34,26,17,30,1,5,8,6,4,0,2,0
11,7,7,14,6,7,12,12,4,8,1,1,7,5,2,0,0,0
5,0,0,9,5,2,15,4,8,6,1,3,3,0,0,0,0,0
4,2,3,19,8,9,22,4,4,8,2,4,5,0,0,2,0,0
264,80,129,769,142,510,1173,226,243,349,103,147,151,113,134,93,48,48
102,24,26,45,38,10,21,96,12,40,3,4,79,4,3,0,1,0
17,11,19,27,8,23,33,14,7,19,0,3,4,3,6,0,2,0
165,80,85,257,104,71,226,179,59,128,46,52,181,19,20,8,8,6
8,3,4,8,4,5,8,8,2,5,1,2,5,1,2,0,2,0
30,15,24,100,18,47,71,25,15,24,7,8,25,5,13,1,5,0
173,39,53,367,98,146,368,236,137,202,70,61,113,42,27,14,16,5
3,0,2,6,0,6,15,9,6,12,2,6,5,1,0,0,0,1
38,5,9,55,17,26,49,57,13,37,6,9,24,3,3,0,1,0
207,96,89,338,138,164,261,227,99,150,47,57,151,28,48,5,10,3
31,28,43,158,33,61,88,43,46,56,24,29,22,4,20,1,0,2
10,1,1,5,0,3,10,11,5,11,2,0,4,3,1,0,1,0
25,1,2,12,6,7,14,38,17,30,2,5,13,4,1,0,2,0
17,7,6,23,9,15,23,16,8,15,4,6,11,3,0,0,0,0
23,15,17,57,20,32,54,10,11,7,3,6,2,5,9,2,1,2
153,37,49,280,96,191,268,189,87,168,57,49,99,25,34,3,10,3
30,6,5,52,22,33,57,28,16,25,3,7,14,3,1,0,0,0
12,5,7,52,15,23,26,6,6,1,0,2,2,1,0,0,0,0
27,5,14,55,10,14,31,39,14,42,8,5,15,1,4,0,0,0
19,0,0,10,5,5,22,50,16,22,7,0,15,4,0,0,2,0
11,0,0,2,1,0,6,17,5,4,2,0,9,3,0,0,1,0
57,8,7,96,23,34,132,86,57,77,12,20,42,15,5,2,1,2
12,4,2,6,5,11,15,9,3,1,1,1,5,1,3,0,0,0
12,3,4,11,9,9,29,13,11,14,3,7,9,4,1,0,0,0
13,2,3,13,0,4,14,13,6,14,0,2,4,3,2,0,1,0
7,1,2,7,3,1,10,7,1,6,5,1,3,0,5,1,7,0
18,23,19,71,14,27,27,8,7,8,3,2,6,1,11,0,0,0
14,4,6,15,2,8,16,13,11,18,2,4,5,2,2,0,0,0
6,3,4,15,3,6,17,5,6,9,5,2,9,1,4,0,1,0
11,5,6,25,4,14,62,14,20,28,9,10,13,5,4,1,0,0
8,3,5,48,10,36,53,6,18,16,1,5,2,2,2,4,1,0
2,4,5,11,6,2,10,10,3,11,16,4,7,0,4,0,0,0
3,1,1,18,5,20,26,3,6,5,2,3,3,1,1,1,1,0
5,1,2,4,1,6,9,8,4,8,2,1,3,3,1,0,2,0
7,1,2,16,3,5,11,2,0,1,2,0,4,1,3,0,2,0
176,111,128,221,127,124,160,124,39,59,22,24,85,7,49,1,6,2
17,1,3,43,9,19,52,28,24,25,10,12,11,5,1,1,3,2
18,1,3,8,6,5,30,22,5,16,4,4,21,3,1,0,1,0
12,3,5,13,5,10,24,19,9,21,2,5,8,5,3,0,2,0
10,1,1,9,4,6,12,10,3,9,3,2,7,4,1,0,3,0
75,24,36,145,49,47,132,98,47,91,88,29,71,10,20,5,6,2
7,1,1,1,1,2,13,14,10,8,1,4,10,5,0,0,0,0
9,1,1,13,3,6,10,5,5,3,0,0,4,4,0,0,1,0
118,63,106,176,66,100,175,70,44,54,10,26,36,25,54,2,6,2
7,2,2,7,2,4,11,7,3,7,3,3,7,1,3,0,0,0
2,0,0,14,0,9,12,7,11,4,0,1,1,1,0,0,0,0
65,10,12,92,29,23,52,66,25,34,14,10,65,6,5,1,3,1
9,1,3,14,4,10,20,10,9,16,0,5,5,0,2,0,0,0
57,11,10,71,21,22,87,76,47,53,4,20,52,10,7,2,2,1
29,24,14,21,28,18,39,23,12,13,4,3,12,4,4,0,0,0
47,2,5,35,12,15,44,70,21,45,6,6,30,11,2,0,5,1
146,84,98,227,80,129,178,123,43,73,9,17,79,12,62,31,2,1
9,3,3,25,2,13,45,7,13,6,1,2,3,3,0,0,0,0
83,17,39,52,28,22,56,43,9,32,21,11,37,8,20,1,3,1
16,4,3,16,4,7,39,28,26,25,2,7,7,4,0,1,0,1
11,2,4,12,5,3,2,9,0,8,0,2,4,0,2,0,0,0
6,0,1,10,1,10,15,8,3,13,1,1,4,2,0,0,1,0
14,0,1,6,4,2,5,10,2,5,3,0,5,0,1,0,1,0
8,0,0,4,1,5,27,28,22,21,6,3,9,5,0,0,1,1
8,3,3,14,5,4,12,12,6,13,22,5,12,1,1,0,1,0
253,84,83,216,112,56,103,294,60,125,32,22,164,18,22,0,7,1
2,1,0,18,1,9,11,6,4,5,2,2,1,0,2,0,0,0
6,0,0,13,0,4,23,10,5,14,4,2,6,3,0,0,3,0
10,0,0,15,8,3,22,17,18,14,1,2,6,3,0,1,1,0
12,8,11,21,7,12,12,3,1,0,0,1,2,1,13,0,1,0
15,10,12,29,8,6,9,12,5,1,2,0,3,1,1,0,0,0
16,1,2,13,7,3,11,22,9,18,5,6,12,1,1,0,0,1
23,9,11,37,7,19,31,29,15,28,5,5,9,3,5,0,5,0
23,13,16,54,15,17,39,27,22,34,8,10,23,1,9,1,1,0
11,7,8,48,7,22,23,15,13,12,6,4,11,2,3,0,1,0
6,1,1,6,1,4,8,8,1,8,1,2,3,0,0,1,0,0
5,0,3,8,1,3,5,8,4,9,1,3,5,3,0,0,1,0
10,1,3,12,2,4,18,18,6,18,21,3,17,2,2,0,0,0
0,0,0,5,2,6,12,3,3,5,0,2,2,3,1,2,0,1
7,0,0,8,1,5,13,12,5,4,0,1,5,2,0,1,0,0
8,0,1,0,3,0,9,15,7,7,0,2,7,3,0,0,0,0
14,4,3,6,2,3,12,15,6,8,0,1,15,3,0,0,0,0
55,6,5,21,14,11,47,78,28,54,3,12,36,11,0,1,0,1
55,13,19,84,26,33,81,60,26,40,12,14,33,13,14,0,4,3
7,0,0,21,1,11,51,18,47,35,0,7,4,1,0,4,0,1
14,14,19,33,15,28,44,11,6,11,7,3,6,4,33,0,2,0
99,8,29,282,43,93,190,142,62,125,82,30,132,18,11,1,11,2
26,2,6,3,26,4,7,12,0,4,2,3,4,0,2,0,0,0
16,4,3,7,4,3,6,14,3,6,1,1,8,2,1,0,0,0
12,3,6,17,13,14,31,10,10,18,4,5,3,4,2,0,0,0
41,14,23,61,19,26,42,59,18,41,5,6,27,5,12,0,2,0
105,35,22,164,56,80,205,154,81,129,22,43,101,16,17,11,11,2
175,35,44,180,73,55,163,246,87,156,41,39,142,34,10,0,6,6
37,11,16,83,21,54,114,50,40,71,56,20,34,8,5,1,2,2
31,17,34,142,29,118,94,13,9,11,6,3,10,4,23,0,0,0
15,1,3,143,6,51,39,32,24,14,1,5,9,3,1,0,1,0
6,1,2,14,1,7,10,8,9,12,0,3,1,2,1,0,1,0
21,3,4,31,6,24,33,23,9,22,1,3,10,6,3,0,5,0
150,74,56,97,66,28,150,146,31,76,20,24,119,20,10,1,6,1
4,0,2,11,1,4,15,1,3,5,1,1,2,3,2,0,1,0
10,2,2,7,1,4,5,11,7,11,0,1,3,1,2,0,1,0
64,8,14,62,26,38,83,74,30,61,12,20,53,10,2,0,1,0
6,1,0,19,11,4,11,10,1,40,104,10,22,0,1,0,0,1
31,6,6,56,7,44,85,32,23,28,3,14,15,20,3,0,6,2
106,24,27,96,38,27,89,147,60,106,26,27,72,17,9,4,3,2
8,2,3,8,2,3,9,8,6,10,1,1,3,2,2,0,0,0
2,1,1,24,2,7,11,3,6,7,4,1,1,1,0,1,0,0
6,2,1,10,5,3,5,9,2,6,4,1,7,0,0,0,0,0
59,2,11,35,9,24,84,70,20,36,11,7,45,23,4,0,4,0
1,0,1,10,3,14,19,3,1,6,3,1,0,0,0,0,0,0
16,18,20,31,8,23,33,20,5,14,2,5,11,5,13,0,0,0
119,18,22,100,35,62,203,167,94,160,31,44,143,22,8,4,13,7
14,5,6,7,10,9,24,7,5,8,1,3,9,5,0,0,0,0
26,8,5,8,10,3,20,32,8,21,2,7,24,3,0,0,1,0
9,11,13,45,8,25,14,1,5,2,3,0,0,1,9,0,0,0
19,5,10,32,7,17,31,29,13,29,4,5,13,3,5,0,1,0
3,2,1,16,1,2,44,9,32,22,0,9,4,2,0,1,0,1
117,50,53,63,45,21,50,114,22,50,5,9,70,9,6,0,3,0
27,3,9,115,12,53,76,24,20,19,2,9,22,7,7,0,5,2
11,1,1,12,1,5,30,22,20,26,3,5,6,4,1,0,2,0
6,0,3,10,2,7,26,5,8,15,1,2,3,3,0,1,1,0
196,32,70,269,81,117,295,242,122,200,44,68,117,46,35,2,25,22
13,5,4,18,2,8,25,15,3,16,5,5,11,1,1,0,1,0
29,6,9,38,14,14,25,40,18,33,6,4,15,3,5,0,6,0
33,7,12,44,16,39,47,28,16,16,1,5,12,6,7,0,0,1
39,5,14,90,19,86,88,84,22,63,41,15,35,7,8,1,1,0
3,2,2,7,3,6,10,3,3,5,0,2,4,0,1,0,0,0
158,49,46,116,78,63,137,193,58,93,20,37,134,10,20,2,4,2
79,9,20,210,34,94,192,127,75,112,16,38,40,21,17,2,8,11
8,2,2,9,4,11,8,5,4,6,1,3,4,0,1,0,0,0
446,163,166,975,250,367,1010,758,419,597,196,163,418,84,69,52,49,28
155,62,115,383,126,168,308,132,77,138,65,40,98,22,61,12,11,4
40,21,18,20,19,16,49,37,17,25,1,12,20,8,0,1,1,0
29,2,8,40,7,25,68,42,28,51,3,11,15,7,2,1,6,2
102,4,16,325,47,216,541,153,144,194,77,78,79,31,32,28,19,23
19,7,13,29,12,14,39,32,19,30,22,4,17,2,4,0,2,0
106,26,53,89,138,59,59,69,11,25,15,8,26,9,26,1,3,0
147,42,49,421,97,355,698,151,133,199,52,91,79,65,44,5,17,8
45,6,19,55,21,29,82,72,27,61,35,17,36,6,5,0,2,0
181,55,88,355,111,106,280,277,146,259,97,69,167,19,33,6,11,4
10,1,2,7,1,5,19,11,6,14,2,0,5,4,0,2,1,0
267,66,56,411,151,119,479,517,273,510,303,120,251,47,14,5,33,10
